@@ImportExport
Color,Kind,Letter,Number,Symbol
White,Rook,A,1,R
White,Knight,E,4,H
White,Bishop,C,1,B
White,Queen,D,1,Q
White,King,E,1,K
White,Bishop,F,1,B
White,Knight,G,1,H
White,Rook,H,1,R
White,Pawn,A,4,P
White,Pawn,B,2,P
White,Pawn,C,2,P
White,Pawn,D,2,P
White,Pawn,E,2,P
White,Pawn,F,2,P
White,Pawn,G,2,P
White,Pawn,H,2,P
Black,Pawn,A,7,p
Black,Pawn,B,7,p
Black,Pawn,C,6,p
Black,Pawn,D,7,p
Black,Pawn,E,7,p
Black,Pawn,F,7,p
Black,Pawn,G,7,p
Black,Pawn,H,7,p
Black,Rook,A,8,r
Black,Knight,A,6,h
Black,Bishop,C,8,b
Black,Queen,A,5,q
Black,King,E,8,k
Black,Bishop,F,8,b
Black,Knight,G,8,h
Black,Rook,H,8,r
